"package","size_bytes","layer"
"duckdb",868070014,1
"xgboost",187472084,1
"RTMB",183291167,1
"gaston",147940524,1
"RNiftyReg",134824644,1
"BH",128062533,1
"highs",105923898,1
"terra",97771764,1
"Rvcg",86900480,1
"libgeos",67503777,1
"RSpectra",66463306,1
"arrow",57343418,1
"s2",57125682,1
"gdalcubes",57089093,1
"V8",48453471,1
"nimble",48240657,1
"ragg",45223017,1
"googlePolylines",42780991,1
"Rnanoflann",42285734,1
"RcppCGAL",42077326,1
"RcppEigen",39704712,1
"sf",35339733,1
"mapdata",35010291,1
"gdalraster",34885570,1
"RcppAlgos",34798693,1
"extraDistr",31112331,1
"rncl",30840244,1
"RcppSimdJson",30067813,1
"isotree",25385749,1
"collapse",23965745,1
"igraph",22845325,1
"nanoparquet",22404929,1
"clock",20685558,1
"rgl",19559251,1
"magick",17963844,1
"tlrmvnmvt",17492391,1
"spacefillr",17127075,1
"dbscan",16767438,1
"geographiclib",15457356,1
"RcppArmadillo",14590176,1
"StanHeaders",14116581,1
"rlas",14005164,1
"ranger",13529849,1
"Matrix",13529433,1
"fclust",12691519,1
"xlsxjars",12291068,1
"rhandsontable",12156506,1
"bslib",11430550,1
"stringmagic",11405114,1
"transport",11136732,1
"pak",11125087,1
"cppRouting",11102350,1
"nabor",11019866,1
"geometries",10922086,1
"visNetwork",10818279,1
"RcppNumerical",10800034,1
"survival",10240687,1
"ncbit",9898841,1
"openxlsx",9810592,1
"hunspell",9777830,1
"vapour",9515621,1
"sp",9515195,1
"Rcpp",9374492,1
"colourvalues",9222017,1
"graphlayouts",9155447,1
"TH.data",9106536,1
"VGAM",9103535,1
"phangorn",8910909,1
"RcppAnnoy",8900834,1
"systemfonts",8389641,1
"triebeard",8233333,1
"testthat",8053773,1
"mathjaxr",7820449,1
"mvnfast",7805015,1
"lhs",7767782,1
"resourcecodedata",7674784,1
"stringi",7127890,1
"RcppHNSW",7094335,1
"comat",7072106,1
"imagine",6996122,1
"PBSmapping",6963297,1
"data.table",6836791,1
"rmarkdown",6829841,1
"protolite",6731228,1
"spData",6643805,1
"parzer",6599844,1
"swagger",6473260,1
"runner",6459791,1
"lwgeom",6378621,1
"fontLiberation",6350758,1
"apcluster",6336966,1
"farver",6101452,1
"RcppParallel",5875936,1
"mclust",5821707,1
"cld2",5784772,1
"cubature",5691890,1
"readstata13",5582555,1
"BalancedSampling",5478841,1
"vctrs",5446628,1
"ape",5443363,1
"sass",5359560,1
"predicts",5331798,1
"RNifti",5321458,1
"mgcv",5205338,1
"energy",5202570,1
"corrplot",5125134,1
"AsioHeaders",5083073,1
"LaplacesDemon",5062422,1
"nanonext",5056039,1
"meteor",5006685,1
"tcltk2",5002869,1
"rayimage",4986832,1
"phosphoricons",4969877,1
"skylight",4954928,1
"khroma",4943464,1
"abc.data",4889913,1
"kohonen",4873450,1
"QuickJSR",4780131,1
"tzdb",4708288,1
"geosphere",4565736,1
"palinsol",4464446,1
"aplpack",4433409,1
"hdf5r",4368650,1
"rbibutils",4351153,1
"pinfsc50",4303684,1
"fstcore",4292350,1
"coneproj",4280400,1
"packcircles",4137430,1
"FME",4132193,1
"colorspace",4107161,1
"textshaping",4064901,1
"fitdistrplus",4057281,1
"tweenr",4048511,1
"maps",4001316,1
"deSolve",3955447,1
"hydroTSM",3899547,1
"gap.datasets",3893234,1
"airGR",3851452,1
"later",3848707,1
"rTPC",3839715,1
"interleave",3829082,1
"RcppEnsmallen",3796823,1
"poweRlaw",3786609,1
"belg",3750242,1
"gamlss.dist",3727313,1
"whitebox",3699362,1
"yyjsonr",3678588,1
"pscl",3601677,1
"TMB",3600259,1
"kernlab",3599966,1
"minty",3596557,1
"nloptr",3577747,1
"flexpolyline",3558119,1
"syn",3554464,1
"spgwr",3553818,1
"timechange",3552041,1
"anytime",3547588,1
"ModelMetrics",3521142,1
"isoband",3476786,1
"PoissonBinomial",3467733,1
"RJSONIO",3466812,1
"ff",3442788,1
"dbarts",3439727,1
"insight",3439705,1
"RcppTOML",3419884,1
"laeken",3355101,1
"rnaturalearthdata",3338136,1
"renv",3329445,1
"SpecsVerification",3281632,1
"XML",3280628,1
"spMaps",3273696,1
"emmeans",3262320,1
"palmerpenguins",3252003,1
"roptim",3227969,1
"plotmo",3177075,1
"gdalUtilities",3176394,1
"optimx",3175702,1
"wk",3129256,1
"pander",3095215,1
"argonR",3066843,1
"rlang",3065735,1
"gmp",3062617,1
"filematrix",3031880,1
"unifir",3013755,1
"gridpattern",3011818,1
"data.tree",2992893,1
"Lmoments",2988036,1
"nlme",2963111,1
"multicool",2953320,1
"rgrass",2919669,1
"Rtsne",2885699,1
"terrainmeshr",2838043,1
"units",2833203,1
"modEvA",2815406,1
"SparseChol",2806889,1
"nanoarrow",2805220,1
"osqp",2777359,1
"zipfR",2699100,1
"timeSeries",2696222,1
"hydroGOF",2692919,1
"tokenizers",2684313,1
"RCSF",2652118,1
"jsonlite",2597955,1
"lpSolve",2540941,1
"gbm",2490371,1
"sitmo",2481769,1
"float",2458703,1
"semver",2417778,1
"cli",2388157,1
"curl",2380481,1
"mapiso",2363729,1
"RcppRoll",2359985,1
"spatialEco",2346561,1
"pROC",2325746,1
"berryFunctions",2316485,1
"rangr",2264928,1
"evd",2227450,1
"showtextdb",2200269,1
"lgr",2186305,1
"wdm",2183333,1
"geojson",2178407,1
"NISTunits",2162954,1
"fontawesome",2098149,1
"htmlwidgets",2091383,1
"gss",2087187,1
"roxygen2",2062700,1
"fanplot",2032990,1
"rLakeAnalyzer",2024246,1
"vdiffr",2006600,1
"libcoin",1996891,1
"carData",1968675,1
"bundle",1936442,1
"bookdown",1931350,1
"decido",1928866,1
"pracma",1925197,1
"rpanel",1909394,1
"PolynomF",1906570,1
"logger",1898636,1
"sysfonts",1896195,1
"hoardr",1891893,1
"juicyjuice",1883466,1
"timeDate",1876411,1
"exiftoolr",1873872,1
"plyr",1827490,1
"fs",1824132,1
"hexbin",1820670,1
"xts",1812255,1
"MGBT",1801772,1
"mcmc",1786768,1
"pcaPP",1767391,1
"rJava",1734898,1
"sandwich",1727358,1
"RcppGSL",1722670,1
"reactR",1715847,1
"gridSVG",1708235,1
"gridExtra",1706727,1
"SparseM",1701444,1
"lattice",1699207,1
"rcdd",1690944,1
"geodist",1672667,1
"DBI",1652049,1
"twdtw",1646342,1
"rpart.plot",1629543,1
"janeaustenr",1622854,1
"prismatic",1621929,1
"mvtnorm",1620501,1
"reproducible",1578290,1
"Cubist",1576783,1
"bayestestR",1562296,1
"plotfunctions",1558336,1
"jquerylib",1550637,1
"matrixStats",1531286,1
"CFtime",1525525,1
"Brobdingnag",1525187,1
"vcd",1504944,1
"writexl",1490147,1
"segmented",1475782,1
"maptiles",1465981,1
"Rcereal",1460314,1
"redland",1458295,1
"xml2",1458283,1
"reshape2",1456553,1
"sodium",1423365,1
"knitr",1420091,1
"pls",1419159,1
"MASS",1414698,1
"quarto",1413824,1
"SnowballC",1402658,1
"RcppInt64",1388347,1
"lobstr",1388330,1
"commonmark",1387914,1
"diffobj",1380831,1
"anticlust",1378570,1
"zoo",1364526,1
"zip",1352737,1
"viridisLite",1351140,1
"bit",1311707,1
"polyclip",1311488,1
"progressr",1296523,1
"intervals",1294967,1
"countrycode",1294961,1
"datawizard",1294587,1
"TeachingDemos",1284085,1
"minqa",1280238,1
"locfit",1277144,1
"dygraphs",1248804,1
"checkmate",1245503,1
"cmocean",1242892,1
"plotrix",1242652,1
"bigreadr",1237445,1
"HistData",1229269,1
"clue",1220271,1
"mda",1214080,1
"urca",1200119,1
"BiocManager",1193007,1
"geoarrow",1189996,1
"bigD",1189497,1
"cnmap",1179220,1
"GlobalOptions",1167129,1
"RcppThread",1161854,1
"digest",1158007,1
"wrapr",1143212,1
"scam",1139818,1
"MCMCglmm",1131502,1
"smoothr",1129896,1
"rootSolve",1120907,1
"mlbench",1120151,1
"cptcity",1104304,1
"R2WinBUGS",1104197,1
"paradox",1103552,1
"SESraster",1091461,1
"Matching",1064654,1
"strucchange",1055934,1
"cpp11",1054125,1
"MBA",1050750,1
"sm",1033006,1
"rpart",1017705,1
"MuMIn",1014644,1
"caper",1009144,1
"yaImpute",1007769,1
"pegas",991488,1
"rjags",984767,1
"sampling",975428,1
"gsl",974562,1
"svUnit",972850,1
"profvis",964784,1
"chk",951978,1
"fontBitstreamVera",941300,1
"circular",939919,1
"changepoint",937120,1
"Require",934848,1
"AlgDesign",926423,1
"GenSA",913687,1
"parallelly",904472,1
"cluster",902605,1
"rmutil",899215,1
"bit64",893632,1
"e1071",893297,1
"directlabels",892571,1
"polynom",891848,1
"adehabitatMA",883718,1
"googleVis",878385,1
"stringdist",863126,1
"xtable",858225,1
"flock",856858,1
"lmom",844527,1
"kit",831248,1
"fritools",826722,1
"fastmatrix",819838,1
"pan",817909,1
"purrr",815252,1
"IDPmisc",815085,1
"sets",810861,1
"shape",798730,1
"diagram",798296,1
"fastmap",794368,1
"FNN",793401,1
"classInt",783570,1
"rapidjsonr",779548,1
"foreign",775043,1
"memuse",770609,1
"sfsmisc",768347,1
"npreg",762566,1
"RTriangle",762010,1
"BiasedUrn",753679,1
"ps",751223,1
"traudem",744228,1
"sparkline",732888,1
"boot",731353,1
"gslnls",727713,1
"RgoogleMaps",726862,1
"tensr",722016,1
"processx",713607,1
"xfun",697630,1
"kknn",696083,1
"nngeo",688677,1
"RNetCDF",687407,1
"dtw",681444,1
"PRROC",670933,1
"fansi",658333,1
"RPostgreSQL",658184,1
"utf8",651403,1
"yaml",648497,1
"sns",645346,1
"selectr",635303,1
"remotes",634425,1
"tanaka",633528,1
"S7",632489,1
"GPArotation",625984,1
"fastcluster",590798,1
"stringr",590354,1
"SuppDists",589223,1
"tictoc",587347,1
"Rttf2pt1",580943,1
"irlba",576381,1
"gdata",567261,1
"textshape",565422,1
"callr",561168,1
"sourcetools",559845,1
"spatstat.utils",549126,1
"plotwidgets",549035,1
"poorman",545573,1
"mlr3misc",541930,1
"reprex",541678,1
"proto",539095,1
"strex",537941,1
"ecodist",531273,1
"rjson",523597,1
"storr",515955,1
"rstudioapi",512986,1
"gtfsio",511554,1
"ngram",500938,1
"FlexParamCurve",490030,1
"fuzzySim",487661,1
"MatrixModels",477106,1
"splancs",471641,1
"brew",469156,1
"twosamples",468911,1
"bdsmatrix",463381,1
"lmtest",459775,1
"networkD3",455067,1
"hydrostats",454609,1
"qdapRegex",453536,1
"splus2R",453031,1
"magic",448513,1
"litedown",446026,1
"webshot",440148,1
"statnet.common",437952,1
"calibrate",436923,1
"NLP",436464,1
"Cairo",435837,1
"gtools",432154,1
"fmsb",429857,1
"mitools",422211,1
"iterators",420660,1
"ROCit",419795,1
"htmltools",416986,1
"ncdf4",409415,1
"sparseMVN",405204,1
"signal",401148,1
"permute",398457,1
"mapplots",397006,1
"magrittr",396673,1
"statmod",392111,1
"qmap",387423,1
"sparsevctrs",386962,1
"deldir",385700,1
"DiceDesign",384870,1
"LearnBayes",376141,1
"emulator",372470,1
"randomForest",371931,1
"expm",369762,1
"scatterplot3d",368927,1
"PresenceAbsence",368453,1
"desc",365464,1
"tidyselect",364331,1
"CARBayesdata",358508,1
"JoSAE",355700,1
"h3lib",353106,1
"coda",350949,1
"fishMod",349825,1
"bmp",345320,1
"epitools",338124,1
"otel",336752,1
"lazyeval",336718,1
"densratio",335110,1
"glue",331780,1
"caTools",330842,1
"gridGraphics",329702,1
"slam",327597,1
"rrapply",324950,1
"iotools",323946,1
"drat",317195,1
"mnormt",312466,1
"palr",312110,1
"pool",311485,1
"qrnn",307940,1
"ISOcodes",307870,1
"LiblineaR",306246,1
"withr",305356,1
"rpostgis",304989,1
"omnibus",302211,1
"proxy",298554,1
"ismev",296157,1
"sftime",295043,1
"pso",290116,1
"INLAtools",287014,1
"gtable",286395,1
"gpkg",284208,1
"rlist",281002,1
"spider",280540,1
"modeltools",280047,1
"secretbase",279150,1
"clusterGeneration",278183,1
"gower",276389,1
"RANN",275307,1
"numbers",275022,1
"cartogram",273707,1
"geodata",273547,1
"warp",272444,1
"otuSummary",272319,1
"pixmap",269218,1
"globals",266474,1
"PROJ",265076,1
"lifecycle",264179,1
"getPass",260911,1
"tensorA",260075,1
"misc3d",254509,1
"quantregForest",250706,1
"multcompView",247864,1
"pkgload",241667,1
"tinytiger",240605,1
"tree",237153,1
"ncf",237096,1
"SpatialNP",235462,1
"ellipse",235135,1
"rstantools",232358,1
"chron",230604,1
"spatial",230396,1
"listenv",230113,1
"RPMG",229739,1
"pkgbuild",226717,1
"smatr",225418,1
"cartographer",225025,1
"sessioninfo",224478,1
"matrixcalc",224140,1
"SQUAREM",221841,1
"geigen",219946,1
"attempt",218413,1
"configr",214373,1
"registry",213647,1
"gridBase",212426,1
"geohashTools",211725,1
"snakecase",211589,1
"optimParallel",210321,1
"confintr",209626,1
"fracdiff",207796,1
"gitcreds",207084,1
"stabs",204138,1
"minpack.lm",202831,1
"fftwtools",201243,1
"CircStats",199496,1
"config",198190,1
"log4r",195889,1
"Formula",191409,1
"DEoptim",191322,1
"yulab.utils",189229,1
"coro",189222,1
"mapproj",189143,1
"reshape",185220,1
"rprojroot",183125,1
"jqr",182627,1
"inline",181209,1
"rcmdcheck",180661,1
"crayon",180223,1
"whisker",177333,1
"mco",175697,1
"nnet",174325,1
"maptpx",173292,1
"HandTill2001",167952,1
"sgeostat",166362,1
"hbsae",166165,1
"norm",163750,1
"Deriv",163126,1
"uuid",162721,1
"prettyunits",160558,1
"irr",157593,1
"rngWELL",153463,1
"KernSmooth",152998,1
"waldo",152200,1
"tinytex",152082,1
"dichromat",151255,1
"maplegend",151140,1
"leaps",150564,1
"gee",150304,1
"backports",148962,1
"tiff",145079,1
"rversions",143302,1
"fit.models",143288,1
"english",142204,1
"bibtex",140540,1
"splitstackshape",138869,1
"class",132945,1
"sparsesvd",130488,1
"here",128812,1
"corpcor",128449,1
"statisfactory",126623,1
"itertools",126384,1
"gmodels",126276,1
"neuralnet",126061,1
"subplex",125424,1
"SPAtest",122843,1
"numDeriv",122818,1
"NbClust",122588,1
"hms",122236,1
"fastmatch",120762,1
"evaluate",115117,1
"progress",113818,1
"dotCall64",113627,1
"proceduralnames",112877,1
"audio",112548,1
"zeallot",111451,1
"pbapply",109512,1
"SearchTrees",107944,1
"zigg",107365,1
"snow",106853,1
"easyNCDF",105495,1
